campaña,franja,tasa_conversion
A,mañana,2.2483570765056164
A,mañana,1.9308678494144076
A,mañana,2.3238442690503462
A,mañana,2.761514928204013
A,mañana,1.882923312638332
A,mañana,1.8829315215254097
A,mañana,2.7896064077536957
A,mañana,2.3837173645764542
A,mañana,1.765262807032524
A,mañana,2.2712800217929825
A,mañana,1.7682911535937689
A,mañana,1.7671351232148715
A,mañana,2.1209811357830173
A,mañana,1.043359877671101
A,mañana,1.1375410837434836
A,mañana,1.7188562353795136
A,mañana,1.4935844398327882
A,mañana,2.157123666297637
A,mañana,1.5459879622393946
A,mañana,1.2938481493323541
A,mañana,2.732824384460777
A,mañana,1.887111849756732
A,mañana,2.033764102343962
A,mañana,1.2876259068932716
A,mañana,1.7278086377374087
A,mañana,2.055461294854933
A,mañana,1.4245032112888487
A,mañana,2.1878490091728358
A,mañana,1.6996806550405976
A,mañana,1.8541531251033616
A,mañana,1.6991466938853015
A,mañana,2.926139092254469
A,mañana,1.993251387631033
A,mañana,1.4711445355220498
A,mañana,2.4112724560515946
A,mañana,1.3895781750144889
A,mañana,2.104431797502378
A,mañana,1.020164938060112
A,mañana,1.3359069755507846
A,mañana,2.0984306179345618
A,mañana,2.3692332899977053
A,mañana,2.085684140594985
A,mañana,1.9421758588058797
A,mañana,1.8494481522053556
A,mañana,1.2607390048162863
A,mañana,1.6400778958026456
A,mañana,1.7696806145201063
A,mañana,2.5285611131094576
A,mañana,2.1718091447842305
A,mañana,1.118479922318633
A,mañana,2.1620419846973977
A,mañana,1.8074588597918417
A,mañana,1.6615389998470207
A,mañana,2.305838144420434
A,mañana,2.5154997612479755
A,mañana,2.4656400595580994
A,mañana,1.5803912383886807
A,mañana,1.8453938120743927
A,mañana,2.165631715701782
A,mañana,2.4877725635611796
A,mañana,1.760412881077355
A,mañana,1.9071705116680915
A,mañana,1.446832512996986
A,mañana,1.4018966879596646
A,mañana,2.406262911197099
A,mañana,2.6781200142854114
A,mañana,1.963994939209833
A,mañana,2.501766448946012
A,mañana,2.180818012523817
A,mañana,1.6774401226974378
A,mañana,2.180697802754207
A,mañana,2.7690182832329846
A,mañana,1.9820869804450243
A,mañana,2.782321827907003
A,mañana,0.6901274479551278
A,mañana,2.410951252187612
A,mañana,2.0435235341190854
A,mañana,1.8504963247670663
A,mañana,2.045880388267751
