Grupo,Valor
Grupo 1,6.764052345967664
Grupo 1,5.400157208367223
Grupo 1,5.978737984105739
Grupo 1,7.240893199201458
Grupo 1,6.867557990149967
Grupo 1,4.022722120123589
Grupo 1,5.950088417525589
Grupo 1,4.848642791702302
Grupo 1,4.8967811482064425
Grupo 1,5.410598501938372
Grupo 1,5.144043571160878
Grupo 1,6.454273506962975
Grupo 1,5.761037725146993
Grupo 1,5.121675016492828
Grupo 1,5.443863232745426
Grupo 1,5.333674327374267
Grupo 1,6.494079073157606
Grupo 1,4.794841736234199
Grupo 1,5.313067701650901
Grupo 1,4.145904260698275
Grupo 1,2.4470101841659213
Grupo 1,5.653618595440361
Grupo 1,5.864436198859506
Grupo 1,4.257834979593558
Grupo 1,7.269754623987607
Grupo 1,3.5456343254012355
Grupo 1,5.045758517301446
Grupo 1,4.812816149974166
Grupo 1,6.532779214358458
Grupo 1,6.4693587699002855
Grupo 1,5.154947425696916
Grupo 1,5.378162519602173
Grupo 1,4.1122142523698875
Grupo 1,3.019203531776073
Grupo 1,4.652087850673848
Grupo 1,5.15634896910398
Grupo 1,6.2302906807277205
Grupo 1,6.202379848784411
Grupo 1,4.612673182592047
Grupo 1,4.697697249424665
Grupo 1,3.951447034932907
Grupo 1,3.579982062821025
Grupo 1,3.2937298093749874
Grupo 1,6.95077539523179
Grupo 1,4.490347818248346
Grupo 1,4.561925698388814
Grupo 1,3.747204639950074
Grupo 1,5.77749035583191
Grupo 1,3.3861021524420485
Grupo 1,4.787259719786031
Grupo 1,4.104533438806325
Grupo 1,5.386902497859262
Grupo 1,4.489194862431127
Grupo 1,3.819367815877588
Grupo 1,4.971817771661345
Grupo 1,5.4283318705304175
Grupo 1,5.066517222383168
Grupo 1,5.302471897739782
Grupo 1,4.3656779063190365
Grupo 1,4.6372588340128615
Grupo 1,4.327539552224049
Grupo 1,4.640446838459459
Grupo 1,4.186853717955546
Grupo 1,3.273717397668323
Grupo 1,5.177426142253752
Grupo 1,4.598219063791738
Grupo 1,3.3698016530339556
Grupo 1,5.462782255525775
Grupo 1,4.092701635616757
Grupo 1,5.051945395796139
Grupo 1,5.729090562177537
Grupo 1,5.1289829107574105
Grupo 1,6.1394006845433005
Grupo 1,3.7651741796463476
Grupo 1,5.402341641177549
Grupo 1,4.315189909059686
Grupo 1,4.129202850818118
Grupo 1,4.421150335235584
Grupo 1,4.688447467872628
Grupo 1,5.056165342229745
Grupo 1,3.8348501592166437
Grupo 1,5.9008264869541875
Grupo 1,5.46566243973046
Grupo 1,3.4637563137227763
Grupo 1,6.488252193795599
Grupo 1,6.895889176030583
Grupo 1,6.178779571159651
Grupo 1,4.820075164187649
Grupo 1,3.9292473784894577
Grupo 1,6.054451726931137
Grupo 1,4.596823053026821
Grupo 1,6.2224450703824274
Grupo 1,5.208274978076861
Grupo 1,5.9766390364837125
Grupo 1,5.356366397174402
Grupo 1,5.706573168191948
Grupo 1,5.01050002072082
Grupo 1,6.785870493905835
Grupo 1,5.12691209270362
Grupo 1,5.401989363444701
Grupo 1,6.883150697056254
